0	1073	1	0.006407
0	1390	1	0.01168
1	748	1	0.004123
1	1059	1	0.004864
2	599	1	0.005827
2	1519	1	0.003706
3	1791	1	0.002557
3	1955	1	0.004656
4	940	1	0.00245
4	1943	1	0.00977
5	391	0.5	0.0089
5	1778	1	0.012435
5	1948	0.5	0.00987
6	1365	1	0.014944
6	1594	1	0.014035
7	1111	1	0.000814
7	1969	1	0.009242
8	214	1	0.005018
8	777	1	0.004163
9	382	1	0.007321
9	383	1	0.006779
10	663	0.5	0.014756
10	810	0.5	0.007681
10	899	1	0.006149
11	1503	1	0.003884
11	1987	1	0.011477
12	341	1	0.001034
12	1402	1	0.003622
13	76	1	0.004879
13	1041	0.5	0.009869
13	1412	0.5	0.015824
14	973	1	0.010224
14	1304	1	0.00936
15	1389	1	0.006279
15	1933	1	0.001561
16	1584	1	0.006905
16	1823	1	0.00972
17	1188	1	0.001561
17	1931	1	0.006146
18	244	1	0.001487
18	1456	1	0.005449
19	1387	1	0.002204
19	1952	1	0.00853
20	184	1	0.001727
20	701	1	0.004782
21	481	1	0.003029
21	822	1	0.010358
22	471	0.5	0.011662
22	985	1	0.003765
22	1444	0.5	0.009088
23	296	1	0.00631
23	1150	1	0.00866
24	531	1	0.003423
24	1391	1	0.004425
25	622	1	0.010623
25	1935	1	0.009293
26	518	0.5	0.002999
26	1167	1	0.000818
26	1919	0.5	0.005634
27	740	1	0.008084
27	1052	1	0.005032
28	370	1	0.00988
28	1864	1	0.002396
29	334	1	0.005735
29	1443	1	0.003229
30	349	0.5	0.021604
30	951	0.5	0.015127
30	1300	1	0.006386
31	687	1	0.011018
31	1105	1	0.002607
32	432	0.5	0.009715
32	647	0.5	0.010973
32	1532	1	0.006593
33	1005	1	0.007475
33	1493	1	0.005453
34	223	1	0.003751
34	1744	1	0.005869
35	1379	1	0.016544
35	1957	1	0.009169
36	1398	1	0.003266
36	1994	1	0.003032
37	1191	1	0.00859
37	1233	1	0.00839
38	150	1	0.008932
38	1286	1	0.003805
39	595	1	0.006759
39	1832	1	0.007023
40	670	1	0.013243
40	1480	1	0.007603
41	303	1	0.00441
41	1924	1	0.010193
42	342	1	0.008953
42	1133	1	0.016106
43	1001	1	0.007165
43	1293	1	0.000611
44	492	1	0.007958
44	1204	1	0.003395
45	820	1	0.0105
45	821	1	0.009412
46	1588	1	0.007517
46	1834	1	0.003537
47	324	1	0.004259
47	699	1	0.005123
48	246	0.5	0.00613
48	1376	0.5	0.012756
48	1670	1	0.008396
49	1035	1	0.005417
49	1976	1	0.012422
50	814	1	0.006557
50	1392	1	0.017122
51	531	1	0.004093
51	683	1	0.006093
52	912	1	0.006429
52	1858	1	0.001726
53	937	1	0.003142
53	1311	1	0.007127
54	1791	1	0.002874
54	1941	1	0.010087
55	425	0.5	0.005253
55	1135	0.5	0.012252
55	1256	1	0.001192
56	247	1	0.00669
56	1749	1	0.002128
57	748	1	0.004233
57	1701	1	0.005196
58	1407	1	0.00386
58	1577	1	0.009449
59	966	0.5	0.011734
59	1224	1	0.011053
59	1607	0.5	0.011204
60	1777	1	0.004243
60	1960	1	0.005252
61	765	0.5	0.014193
61	958	0.5	0.017418
61	990	1	0.018917
62	240	1	0.012321
62	453	1	0.01301
63	727	0.5	0.005337
63	1735	0.5	0.005384
63	1988	1	0.003976
64	89	1	0.002091
64	379	1	0.001998
65	709	1	0.00269
65	1245	1	0.002717
66	325	1	0.009456
66	889	1	0.004236
67	394	1	0.001776
67	830	1	0.009846
68	745	1	0.00443
68	1574	1	0.0068
69	461	1	0.005619
69	1193	0.5	0.005363
69	1511	0.5	0.006981
70	1724	1	0.001908
70	1734	1	0.003831
71	1236	1	0.004786
71	1554	1	0.006395
72	1839	1	0.007603
72	1842	1	0.017204
73	1092	1	0.004618
73	1675	1	0.012196
